Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Entry mode deviation: A behavioral approach to internalization theory","Journal of International Business Studies","","","","10.1057/s41267-019-00235-7","Stefano EliaMarcus M. LarsenLucia Piscitello","2019","http://link.springer.com/article/10.1057/s41267-019-00235-7","Article"
"Developed country MNEs investing in developing economies: Progress and prospect","Journal of International Business Studies","","","","10.1057/s41267-019-00230-y","Yadong LuoHuan ZhangJuan Bu","2019","http://link.springer.com/article/10.1057/s41267-019-00230-y","Article"
"Micro-processes of translation in the transfer of practices from MNE headquarters to foreign subsidiaries: The role of subsidiary translators","Journal of International Business Studies","","","","10.1057/s41267-019-00234-8","Gabriela Gutierrez-Huerter OJeremy MoonStefan GoldWendy Chapple","2019","http://link.springer.com/article/10.1057/s41267-019-00234-8","Article"
"MNEs’ location strategies and labor standards: The role of operating and reputational considerations across industries","Journal of International Business Studies","","","","10.1057/s41267-019-00231-x","Daniela MaggioniGrazia D. SantangeloSeda Koymen-Ozer","2019","http://link.springer.com/article/10.1057/s41267-019-00231-x","Article"
"De-globalization: Theories, predictions, and opportunities for international business research","Journal of International Business Studies","","","","10.1057/s41267-019-00219-7","Michael A. Witt","2019","http://link.springer.com/article/10.1057/s41267-019-00219-7","Article"
"Shifting MNE taxation from national to global profits: A radical reform long overdue","Journal of International Business Studies","","","","10.1057/s41267-019-00233-9","Sara L. McGaugheyPascalis Raimondos","2019","http://link.springer.com/article/10.1057/s41267-019-00233-9","Article"
"Does politician turnover affect foreign subsidiary performance? Evidence in China","Journal of International Business Studies","","","","10.1057/s41267-019-00229-5","Weiguo ZhongYa LinDanxue GaoHaibin Yang","2019","http://link.springer.com/article/10.1057/s41267-019-00229-5","Article"
"International corporate governance: A review and opportunities for future research","Journal of International Business Studies","","","","10.1057/s41267-019-00232-w","Ruth V. AguileraValentina MaranoIlir Haxhi","2019","http://link.springer.com/article/10.1057/s41267-019-00232-w","Article"
"Investor protection and the value impact of stock liquidity","Journal of International Business Studies","","","","10.1057/s41267-019-00228-6","Tao HuangFei WuJing YuBohui Zhang","2019","http://link.springer.com/article/10.1057/s41267-019-00228-6","Article"
"Foreign operation methods","Journal of International Business Studies","","50","3","10.1057/s41267-018-0197-x","Klaus E. Meyer","2019","http://link.springer.com/article/10.1057/s41267-018-0197-x","Article"
"Correction to: Dodging bullets: The heterogeneous effect of political violence on greenfield FDI","Journal of International Business Studies","","50","3","10.1057/s41267-018-0200-6","Caroline T WitteMartijn J BurgerElena I IanchovichinaEnrico Pennings","2019","http://link.springer.com/article/10.1057/s41267-018-0200-6","Article"
"Psychic distance and performance of MNCs during marketing crises","Journal of International Business Studies","","50","3","10.1057/s41267-018-0187-z","Isaac M DinnerTarun KushwahaJan-Benedict E M Steenkamp","2019","http://link.springer.com/article/10.1057/s41267-018-0187-z","Article"
"Celebrity endorsements in emerging markets: Align endorsers with brands or with consumers?","Journal of International Business Studies","","50","3","10.1057/s41267-018-00209-1","Subhadip RoyAbhijit GuhaAbhijit BiswasDhruv Grewal","2019","http://link.springer.com/article/10.1057/s41267-018-00209-1","Article"
"Once bitten, not necessarily shy? Determinants of foreign market re-entry commitment strategies","Journal of International Business Studies","","50","3","10.1057/s41267-018-0167-3","Irina SurduKamel MellahiKeith W Glaister","2019","http://link.springer.com/article/10.1057/s41267-018-0167-3","Article"
