,Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type,keywords,abstract
0,Entry mode deviation: A behavioral approach to internalization theory,Journal of International Business Studies,,,,10.1057/s41267-019-00235-7,Stefano EliaMarcus M. LarsenLucia Piscitello,2019,http://link.springer.com/article/10.1057/s41267-019-00235-7,Article,"['entry mode\xa0', 'deviation from prediction\xa0', 'internalization theory\xa0', 'bounded rationality\xa0', 'cognitive bias\xa0']","We explore when and why decision makers choose international entry modes (e.g., hierarchies or markets) that deviate from internalization theory’s predictions. By applying a cognitive perspective on entry mode decision making, we propose that the performance of prior international activities influences decision makers’ behavior in different ways than assumed in internalization theory. More specifically, due to a "
1,Developed country MNEs investing in developing economies: Progress and prospect,Journal of International Business Studies,,,,10.1057/s41267-019-00230-y,Yadong LuoHuan ZhangJuan Bu,2019,http://link.springer.com/article/10.1057/s41267-019-00230-y,Article,"['multinational corporations (MNCs) and enterprises (MNEs)\xa0', 'developing economies\xa0', 'global strategy\xa0', 'qualitative review\xa0']","This study reviews research from 1970 through 2016 on developed country multinational enterprises (DMNEs) entering and competing in developing economies. To identify the current state of knowledge of this research and push it further, we review the literature using bibliometric and qualitative content analyses covering leading journals and books. We articulate frontier issues that are understudied yet critical to both theorization and practice of DMNEs in developing economies. We discuss the findings and conclusions from prior research along five key areas: (1) entering developing economies, (2) organizing local activities, (3) managing alliances and joint ventures, (4) competing in dynamic environments, and (5) dealing with institutions, governments and society. We offer prospective insights into future agenda that have important implications for MNE strategies and decisions, and propose frontier directions that encompass strategic localization, reverse transfer and adaptation, co-evolution with local business ecosystems, reorganizing and restructuring, and strategic responses to institutional and market complexity."
2,Micro-processes of translation in the transfer of practices from MNE headquarters to foreign subsidiaries: The role of subsidiary translators,Journal of International Business Studies,,,,10.1057/s41267-019-00234-8,Gabriela Gutierrez-Huerter OJeremy MoonStefan GoldWendy Chapple,2019,http://link.springer.com/article/10.1057/s41267-019-00234-8,Article,"['micro-foundations\xa0', 'transfer of practices\xa0', 'institutional theory\xa0', 'translation\xa0', 'corporate social responsibility reporting\xa0', 'subsidiary managers\xa0', 'multinational enterprises (MNEs)\xa0', 'case-theoric approaches\xa0']","Recent research has increasingly emphasized the micro-foundations of knowledge transformation in multi-national enterprises (MNEs). Although the literature has provided ample evidence of the enablers of and barriers to the translation of practices, less is known about the activities and efforts of translators that lead to specific types of translation in the context of the transfer of practices initiated at a MNE’s headquarters (HQ) to foreign subsidiaries. We apply a Scandinavian institutionalist approach to examine the translation of corporate social responsibility reporting, an HQ-initiated practice that is transferred to five foreign subsidiaries of a UK-based MNE. Our paper builds from a preliminary framework based on extant research to develop an extended framework of the micro-processes of translation. By theorizing the sequence of the micro-processes undertaken by translators, identifying the conditions under which they occur, and connecting them to the three types of translation, we provide a deep understanding of the micro-foundations of translation when transferring practices from HQ to subsidiaries. Our paper shows that translation is an evolving phenomenon and illuminates the importance of attending to the social, spatial, and temporal situatedness of translators. It also brings insights into the individual experience of institutional distance and its effects on translation."
3,MNEs’ location strategies and labor standards: The role of operating and reputational considerations across industries,Journal of International Business Studies,,,,10.1057/s41267-019-00231-x,Daniela MaggioniGrazia D. SantangeloSeda Koymen-Ozer,2019,http://link.springer.com/article/10.1057/s41267-019-00231-x,Article,"['location choice\xa0', 'labor standards\xa0', 'reputational costs\xa0', 'liability of foreignness\xa0', 'industry specificities\xa0']",We investigate the role of local labor standards on MNEs’ location decisions across different sectors and sub-national regions within a developing country. We suggest that foreign investors adopt selective location strategies in connection with specific labor standards as a result of reputational and operating considerations. Foreign firms in more hazardous sectors prefer locations with higher occupational health and safety standards because they are more exposed to reputational risks. Those in sectors with less reversible investments prefer locations with lower degrees of unionization because their lower bargaining power increases their sensitivity to operating costs. We test our arguments across 26 sub-national Turkish regions over the period 2005–2011.
4,"De-globalization: Theories, predictions, and opportunities for international business research",Journal of International Business Studies,,,,10.1057/s41267-019-00219-7,Michael A. Witt,2019,http://link.springer.com/article/10.1057/s41267-019-00219-7,Article,"['globalization\xa0', 'internationalization theory\xa0', 'international relations and political science\xa0', 'political backlash\xa0', 'global institutions\xa0', 'trade blocs\xa0', 'political strategies\xa0', 'global supply chain strategies\xa0', 'institutional context\xa0']","De-globalization, now a distinct possibility, would induce a significant qualitative shift in strategies, structures, and behaviors observable in international business (IB). Coming to terms with this qualitative shift would require IB research to develop a much deeper integration of politics, the key driver of de-globalization. To support such integration, this paper introduces two relevant theories of (de-)globalization from political science, liberalism and realism. Both predict de-globalization under current conditions but lead to different expectations about the future world economy: liberalism suggests a patchwork of economic linkages, while realism predicts the emergence of economic blocs around major countries. This paper discusses the resulting opportunities in three areas of IB research: political strategies and roles of multinational enterprises (MNEs), global value chains, and the role of the national context. For political strategies and roles, there is a need to explore how regular business activities and deliberate political agency of MNEs affect the political sustainability of globalization. For value chains, questions include their future reach and specialization, changes in organizational forms, and the impact of political considerations on location decisions. Research opportunities on national contexts relate to their ability to sustain globalization and their connection with economic and military power."
5,Shifting MNE taxation from national to global profits: A radical reform long overdue,Journal of International Business Studies,,,,10.1057/s41267-019-00233-9,Sara L. McGaugheyPascalis Raimondos,2019,http://link.springer.com/article/10.1057/s41267-019-00233-9,Article,"['formula apportionment\xa0', 'unitary taxation and global profits\xa0', 'income shifting\xa0', 'separate accounting\xa0', 'digital economy\xa0', 'history in international business\xa0']",The current “Separate Accounting” taxation of corporations gives governments the right to tax the 
6,Does politician turnover affect foreign subsidiary performance? Evidence in China,Journal of International Business Studies,,,,10.1057/s41267-019-00229-5,Weiguo ZhongYa LinDanxue GaoHaibin Yang,2019,http://link.springer.com/article/10.1057/s41267-019-00229-5,Article,"['politician turnover\xa0', 'regional political uncertainty\xa0', 'multinational corporations\xa0', 'sub-national environment\xa0']","While research has acknowledged the importance of political risks in affecting multinational companies’ behavior and performance outcomes, the roles of political agents in this process have largely been ignored.
 This study explores one important dimension of political risks caused by politician turnover at the sub-national level and examines its influence on the performance of foreign subsidiaries. We contend that policy uncertainty arising from politician turnover adversely affects the performance of foreign subsidiaries. 
We further develop a multi-level framework identifying contingent factors at event (i.e., internal promotion), firm (i.e., international joint venture), and environment (i.e., market intermediary development) levels that moderate the relationship between politician turnover and MNC performance. Analyses of foreign subsidiaries located in 310 Chinese cities from 1998 to 2007 largely support our thesis that politician turnover dampens the performance of foreign subsidiaries. This negative performance impact is then alleviated for internal promotions, international joint ventures, and firms located in regions with a high degree of market intermediary development. Our study opens a new avenue for examining the role of host-country political agents in affecting MNC performance."
7,International corporate governance: A review and opportunities for future research,Journal of International Business Studies,,,,10.1057/s41267-019-00232-w,Ruth V. AguileraValentina MaranoIlir Haxhi,2019,http://link.springer.com/article/10.1057/s41267-019-00232-w,Article,"['multinational corporations (MNCs) and enterprises (MNEs)\xa0', 'corporate governance\xa0', 'comparative organizational studies\xa0', 'headquarters–subsidiary roles and relations\xa0', 'ownership/control structures\xa0', 'international corporate governance\xa0']","We review four decades of research about the corporate governance of multinational corporations (MNCs), which we label "
8,Investor protection and the value impact of stock liquidity,Journal of International Business Studies,,,,10.1057/s41267-019-00228-6,Tao HuangFei WuJing YuBohui Zhang,2019,http://link.springer.com/article/10.1057/s41267-019-00228-6,Article,"['firm value\xa0', 'stock liquidity\xa0', 'investor protection\xa0']","This paper investigates the effect of investor protection on the value impact of stock liquidity. Using a sample of firms from 40 countries for the period between 1996 and 2010, we show that investor protection is positively associated with the value impact of stock liquidity. This association is robust to the difference-in-differences approach based on a natural experiment. Further evidence shows that the positive effect of home-country investor protection on the liquidity–valuation association attenuates in countries with globally integrated capital markets."
9,Foreign operation methods,Journal of International Business Studies,,50.0,3.0,10.1057/s41267-018-0197-x,Klaus E. Meyer,2019,http://link.springer.com/article/10.1057/s41267-018-0197-x,Article,[],
